SN	REGION CODE	REGION NAME	DISTRICT CODE	DISTRICT (CENTRAL GOVERNMENT)	DISTRICT	OLD ID	TEMP ID (CURRENT)	CURRENT ID	NAME	ALTERNATIVE NAME(S)	STATUS	REMARKS	HMIS (MSIMBO)	DIVISION	WARD	VILLAGE/STREET	REGISTRATION No.	HF TYPE	OWNERSHIP	OWNERSHIP DETAIL	LATITUDE	LONGITUDE	SOURCE
481	2	Arusha	2	Arusha DC	Arusha DC		62	202062	Kogi Oldonyosambo		Operating			Mukulat	Oldonyosmabu	Lemongo	36	Dispensary	Private	Private			
450	2	Arusha	2	Arumeru Disrict	Arusha DC		16	202016	Legijave		Operating		Not Allocated		Ikokola	Lengijave		Dispensary	Government	MOHSW/LGA			
451	2	Arusha	2	Arumeru Disrict	Arusha DC	202119	17	202017	Lemugur		Closed		40	Mukulat	Mateves	Lemugur		Dispensary	Government	MOHSW/LGA	-3.43316	36.5608	NIMR
482	2	Arusha	2	Arusha DC	Arusha DC		63	202063	Lengijave		Operating			Mukulat	Olkokola	Lengijave		Dispensary	Government	MOHSW/LGA			
452	2	Arusha	2	Arumeru Disrict	Arusha DC		18	202018	Lesiraa		Operating		50	Mukulat	Kisongo	Lesiraa	51	Dispensary	Government	MOHSW/LGA			
453	2	Arusha	2	Arumeru Disrict	Arusha DC		19	202019	Likamba		Operating		Not Allocated	Mukulat	Musa	Likamba		Dispensary	Government	MOHSW/LGA			
454	2	Arusha	2	Arumeru Disrict	Arusha DC	202129	20	202020	Losinoni		Operating		24	Mukulat	Oldonyosmabu	Losinoni	24	Dispensary	Government	MOHSW/LGA	-3.13219	36.72003	NIMR
455	2	Arusha	2	Arumeru Disrict	Arusha DC	202323	21	202021	M&M Kiwera		Operating		35	Enaboishu	Kiranyi	Ilkiurei Ilk	35	Dispensary	Private	Private			MMAM
483	2	Arusha	2	Arusha DC	Arusha DC		64	202064	Majimoto		Under Construction			Moshono	Mlangarini	Manyire		Dispensary	Government	MOHSW/LGA			
484	2	Arusha	2	Arusha DC	Arusha DC		65	202065	Manyire		Operating			Moshono		Maruango	50	Dispensary	Government	MOHSW/LGA			
490	2	Arusha	2	Arumeru Disrict	Arusha DC		80	202080	Manyire		Operating			Mushono	Mlangarini	Manyire		Dispensary	Government	MOHSW/LGA			
456	2	Arusha	2	Arumeru Disrict	Arusha DC	202161	23	202023	Mbuyuni		Operating		8	Enaboishu	Oljoro	Mbuyuni	8	Health Centre	Government	MOHSW/LGA	-3.57432	36.66586	NIMR
457	2	Arusha	2	Arumeru Disrict	Arusha DC		26	202026	Moivo		Operating		51		Moivo	Moivo		Dispensary	Government	MOHSW/LGA			
458	2	Arusha	2	Arumeru Disrict	Arusha DC	202175	27	202027	Moshono		Under Construction		28	Terrat	Moshono	Moshono		Dispensary	Government	MOHSW/LGA	-3.40497	36.73009	NIMR
459	2	Arusha	2	Arumeru Disrict	Arusha DC	202183	28	202028	Mungushi		Operating		14	Moshono	Bwawani	Mungushi Mung	14	Dispensary	Government	MOHSW/LGA	-3.53055	36.83489	NIMR
460	2	Arusha	2	Arumeru Disrict	Arusha DC	202184	29	202029	Musa		Operating		7	Mukulat	Musa	Olotiushula	7	Dispensary	Government	MOHSW/LGA	-3.32389	36.52039	NIMR
461	2	Arusha	2	Arumeru Disrict	Arusha DC	202185	31	202031	Mwandet		Operating		12	Mukulat	Mwandet	Engalaoni	12	Dispensary	Government	MOHSW/LGA	-3.24042	36.53881	NIMR
462	2	Arusha	2	Arumeru Disrict	Arusha DC	202190	32	202032	Nduruma		Operating		3	Moshono	Nduruma	Nduruma	3	Health Centre	Government	MOHSW/LGA	-3.48	36.79309	NIMR
463	2	Arusha	2	Arumeru Disrict	Arusha DC	202197	33	202033	Ngires		Operating		18	Moshono	Sokoni Ii	Ngiresi	18	Dispensary	Government	MOHSW/LGA	-3.33731	36.73461	NIMR
464	2	Arusha	2	Arumeru Disrict	Arusha DC	202387	34	202034	Ngorbobo		Operating		48	Mukulat	Mateves	Ngorbob	52	Dispensary	Government	MOHSW/LGA			
465	2	Arusha	2	Arumeru Disrict	Arusha DC	202390	38	202038	Oldadai		Operating		21	Moshono	Sokon II	Oldadai	21	Dispensary	Government	MOHSW/LGA			
466	2	Arusha	2	Arumeru Disrict	Arusha DC	205215	39	202039	Oldonyo Sambu		Operating		23	Mukulat	Oldonyosmabu	Oldonyosambu	23	Health Centre	Government	MOHSW/LGA	-2.10863	35.49841	NIMR
467	2	Arusha	2	Arumeru Disrict	Arusha DC	202218	40	202040	Oldonyo Sapuk		Operating	Edited name from OldonyoSapuk to Oldonyo Sapuk	43	Enaboishu	Olturoto	O/Sapuk	42	Dispensary	Government	MOHSW/LGA	-3.32929	36.70938	NIMR
485	2	Arusha	2	Arusha DC	Arusha DC		66	202066	Oldonyowasi		Under Construction			Mukulat	Oldonyosmabu	Oldonyowasi		Dispensary	Government	MOHSW/LGA			
468	2	Arusha	2	Arumeru Disrict	Arusha DC	202219	41	202041	Olgilai		Operating		20	Enaboishu	Olturoto	Olgilai Olg	20	Dispensary	Government	MOHSW/LGA	-3.34235	36.72194	NIMR
469	2	Arusha	2	Arumeru Disrict	Arusha DC	203222	42	202042	Oljoro		Operating		Not Allocated	Themi	Sombetini	Sombetini		Dispensary	Private	Private	-3.33633	36.66015	NIMR
470	2	Arusha	2	Arumeru Disrict	Arusha DC	202221	43	202043	Oljoro JKT		Operating		44	Enaboishu	Oljoro	Oljoro JKT	44	Dispensary	Government	TPDF	-3.4119	36.6599	NIMR
471	2	Arusha	2	Arumeru Disrict	Arusha DC	202223	44	202044	Olkerian		Under Construction		25	Terrat	Engutoto	Engutoto		Dispensary	Government	MOHSW/LGA			
472	2	Arusha	2	Arumeru Disrict	Arusha DC	202224	45	202045	Olkokola		Operating		Not Allocated	Mukulat	Olkokola	Lemanyata	33	Health Centre	FBO	RC	-3.2466	36.64519	NIMR
473	2	Arusha	2	Arumeru Disrict	Arusha DC	202228	47	202047	Olmontonyi		Operating	Edited name from Olmotonyi to Olmontonyi	33	Enaboishu	Kimnyaki	O/motonyi	34	Dispensary	Government	Parastatal	-3.29013	36.65655	NIMR
474	2	Arusha	2	Arumeru Disrict	Arusha DC	202231	48	202048	Oltrument		Operating		34	Enaboishu	Olturumeti	Ekenywa	2	Health Centre	Government	MOHSW/LGA	-3.18181	36.36315	Other
486	2	Arusha	2	Arusha DC	Arusha DC		67	202067	PAG Kisongo		Operating			Mukulat			32	Dispensary	Private	Private			
487	2	Arusha	2	Arusha DC	Arusha DC		68	202068	SDA kisongo		Operating			Mukulat	Kisongo	Lovilukuny	39	Dispensary	FBO	SDA			
7067	20	Arusha	2	Arumeru Disrict	Arusha DC	202250	52	202052	Selian Hospital		Operating		1	Enaboishu	Kiranyi	Kiranyi		Hospital	FBO	Lutheran			
476	2	Arusha	2	Arumeru Disrict	Arusha DC	202273	55	202055	Themi Ya Simba		Operating		Not Allocated	Moshono	Bwawani	Th/Simba Tsim	46	Dispensary	Government	MOHSW/LGA	-3.58107	36.7854	NIMR
491	2	Arusha	2	Arusha Disrict	Arusha DC		81	202081	ZAAC	ZAAC I Daraja II	Operating		70	Elerai	Lemara	Lemara		Dispensary	Private	Private			
493	2	Arusha	3	Arusha Disrict	Arusha MC	203003	2	203002	AICC		Operating		25	Themi	Sekei	Sekei	23001	Hospital	Government	Parastatal	-3.22469	36.41942	Other
559	2	Arusha	3	Arusha Disrict	Arusha MC	203296	79	203079	Arusha		Closed							Dispensary			-3.38023	36.70745	
494	2	Arusha	3	Arusha Disrict	Arusha MC	203008	3	203003	Arusha & Lab.Services		Operating		79	Suye	Oloirien	Oloirien		Dispensary	FBO	Others			
495	2	Arusha	3	Arusha Disrict	Arusha MC	203297	4	203004	Arusha Hospital for Women		Operating		23	Themi	Kaloleni	Kaloleni	704	Health Centre	Private	Private	-3.36111	36.68531	
496	2	Arusha	3	Arusha Disrict	Arusha MC	203336	5	203005	Arusha Lutheran Center		Operating			Themi	Levolosi	Levolosi		Hospital	FBO	Lutheran			MMAM
497	2	Arusha	3	Arusha Disrict	Arusha MC	203009	6	203006	Arusha Med Centre		Operating		88	Themi	Levolosi	Levolosi		Dispensary	Private	Private	-3.3657	36.68237	
498	2	Arusha	3	Arusha Disrict	Arusha MC	203010	7	203007	Arusha School		Operating		31	Themi	Themi	Themi		Dispensary	Private	Private			
500	2	Arusha	3	Arusha Disrict	Arusha MC	203289	9	203009	Arusha X-Ray Centre		Operating		16	Themi	Sekei	Sekei		Dispensary	Private	Private	-3.36579	36.69897	
502	2	Arusha	3	Arusha Disrict	Arusha MC	203016	11	203011	Bagari Majengo	Pacific	Operating		20		Elerai	Majengo		Dispensary	Private	Private			
503	2	Arusha	3	Arusha Disrict	Arusha MC	203019	12	203012	Baraa RC		Operating		17	Suye	Baraa	Baraa		Dispensary	FBO	RC	-3.38611	36.73593	Other
560	2	Arusha	3	Arusha Disrict	Arusha MC	203298	80	203080	Bikira Maria Mama Wa Huruma		Closed		93		Kaloleni	Kaloleni		Dispensary	Private	Private	-3.3657	36.68762	
561	2	Arusha	3	Arusha Disrict	Arusha MC	203023	81	203081	Burhan		Closed				Levolosi	Levolosi		Dispensary	Private	Private			
504	2	Arusha	3	Arusha Disrict	Arusha MC	203026	13	203013	Canosa		Operating		83		Engutoto	Engutoto		Dispensary	FBO	RC	-3.45545	36.71152	Other
505	2	Arusha	3	Arusha Disrict	Arusha MC	203029	15	203015	CCGI Daraja II		Operating		64		Daraja Ii	Daraja Ii		Dispensary	Private	Private	-3.23246	36.41441	Other
506	2	Arusha	3	Arusha Disrict	Arusha MC	203030	17	203017	COGI Kijenge		Operating		59		Kimandolu	Kijenge		Dispensary	Private	Private			
562	2	Arusha	3	Arusha Disrict	Arusha MC	203035	83	203083	COGI Unga Ltd		Closed							Dispensary			-3.38247	36.67402	
563	2	Arusha	3	Arusha Disrict	Arusha MC	203300	84	203084	EBCM		Closed							Dispensary			-3.36543	36.68956	
507	2	Arusha	3	Arusha Disrict	Arusha MC		18	203018	Eben		Operating		Not Allocated	Themi	Kaloleni	Kaloleni		Dispensary	Private	Private			
508	2	Arusha	3	Arusha Disrict	Arusha MC	203341	19	203019	Elerai West End	Silent Inn	Operating		74	Elerai	Elerai	Elerai		Dispensary	Private	Private	-3.21757	36.4026799999	
509	2	Arusha	3	Arusha Disrict	Arusha MC	203301	20	203020	Elerani		Operating				Kaloleni	Kaloleni		Dispensary	Private	Private	-3.36776	36.68701	
510	2	Arusha	3	Arusha Disrict	Arusha MC	203054	21	203021	Engosengui		Operating		7		Sokon I	Engosengiu		Dispensary	Private	Private	-3.41706	36.68766	
564	2	Arusha	3	Arusha DC	Arusha MC		85	203085	Faith		Operating							Dispensary	Private	Private			
511	2	Arusha	3	Arusha Disrict	Arusha MC	203302	22	203022	FARAJA		Operating			Themi	Levolosi	Levolos		Dispensary	Private	Private	-3.37222	36.68125	
565	2	Arusha	3	Arusha Disrict	Arusha MC	203056	86	203086	Fauna		Closed							Dispensary					
512	2	Arusha	3	Arusha Disrict	Arusha MC	203304	24	203024	Gloria		Operating		2	Themi	Sekei	Sekei		Dispensary	Private	Private	-3.36175	36.69719	
566	2	Arusha	3	Arusha Disrict	Arusha MC	203305	87	203087	GMD		Closed							Dispensary			-3.3605	36.9603	
567	2	Arusha	3	Arusha Disrict	Arusha MC	203306	88	203088	Gogi		Closed							Dispensary			-3.37886	36.70675	
513	2	Arusha	3	Arusha Disrict	Arusha MC		25	203025	Green Hope		Operating		Not Allocated		Kimandolu	Kimandolu		Dispensary	Private	Private			
514	2	Arusha	3	Arusha Disrict	Arusha MC	203061	26	203026	Gwass Sanawari		Operating		50	Themi	Sekei	Sekei		Dispensary	Private	Private			
568	2	Arusha	3	Arusha Disrict	Arusha MC	203063	91	203091	Happy		Closed							Dispensary					
515	2	Arusha	3	Arusha Disrict	Arusha MC		27	203027	Health Master		Operating		Not Allocated		Kati	Soko Kuu		Dispensary	Private	Private			
516	2	Arusha	3	Arusha Disrict	Arusha MC	203064	28	203028	Heri GOOD SAMARITAN		Operating		14	Elerai	Sokon 1	Sokon 1		Dispensary	Private	Private	-3.2318	36.41117	Other
517	2	Arusha	3	Arusha Disrict	Arusha MC	203065	29	203029	Holy Family		Operating		78	Themi	Unga Ltd	Unga Ltd		Dispensary	Private	Private	-3.41215	36.70756	
518	2	Arusha	3	Arusha Disrict	Arusha MC	203341	30	203030	Huruma Kanora		Operating		66	Elerai	Lemara	Lemara		Dispensary	Private	Private			MMAM
519	2	Arusha	3	Arusha Disrict	Arusha MC	203068	31	203031	Huruma Kimandolu		Operating		60	Suye	Kimandolu	Kimandolu		Dispensary	Private	Private	-3.41899	36.65817	
520	2	Arusha	3	Arusha Disrict	Arusha MC	203069	32	203032	I. C. M. Fellowship		Operating		29	Themi	Ngarenaro	Ngarenaro		Dispensary	Private	Private			
521	2	Arusha	3	Arusha Disrict	Arusha MC	203070	33	203033	ICD		Operating		26		Levolosi	Levolosi		Dispensary	FBO				
522	2	Arusha	3	Arusha Disrict	Arusha MC	203071	34	203034	ICH		Operating		22		Kaloleni	Tangi La Maji		Dispensary	FBO				
523	2	Arusha	3	Arusha Disrict	Arusha MC	203075	35	203035	Jobi		Operating		15	Themi	Ngarenaro	Ngarenaro	583	Health Centre	Private	Private	-3.22501	36.40562	Other
524	2	Arusha	3	Arusha Disrict	Arusha MC	203078	36	203036	Kaloleni		Operating		34	Themi	Kaloleni	Kaloleni		Health Centre	Government	MOHSW/LGA	-3.22159	36.41303	Other
525	2	Arusha	3	Arusha Disrict	Arusha MC	203079	37	203037	KAM Med Centre		Operating		3	Themi	Kati	Kati		Health Centre	Private	Private	-3.37106	36.68898	
569	2	Arusha	3	Arusha Disrict	Arusha MC	203082	94	203094	Kanora  Huruma		Closed							Dispensary			-3.3875	36.68182	
570	2	Arusha	3	Arusha Disrict	Arusha MC	203342	95	203095	Kerai TAG		Closed							Dispensary					MMAM
571	2	Arusha	3	Arusha Disrict	Arusha MC	203090	96	203096	Kijenge RC		Operating			Suye	Oloirien	Oloirien		Dispensary	FBO	RC	-3.38148	36.70834	Other
572	2	Arusha	3	Arusha Disrict	Arusha MC	203091	97	203097	Kijenge SDA		Closed							Dispensary			-3.22441	36.42473	Other
573	2	Arusha	3	Arusha Disrict	Arusha MC	203308	98	203098	LCC Ngarenaro west End		Closed			Moshono		Sekei		Dispensary	Private	Private	-3.36268	36.67118	
526	2	Arusha	3	Arusha Disrict	Arusha MC	203123	38	203038	Levolosi		Operating		37	Themi	Levolosi	Levolosi		Health Centre	Government	MOHSW/LGA	-3.37227	36.67994	NIMR
527	2	Arusha	3	Arusha Disrict	Arusha MC	203131	39	203039	Lulu		Operating		77	Elerai	Sombetini	Sombetini		Dispensary	Private	Private	-3.37818	36.66236	
551	2	Arusha	3	Arusha DC	Arusha MC		68	20368	Magereza		Operating		6	Terrat	Mateves	Mateves		Dispensary	Government	Prisons			
528	2	Arusha	3	Arusha Disrict	Arusha MC	203310	41	203041	Malaika		Closed							Dispensary			-3.38035	36.67429	
529	2	Arusha	3	Arusha Disrict	Arusha MC	203311	42	203042	Mama Beba Mtoto Maternity		Operating				Levolosi	Levolosi		Dispensary	Private	Private	-3.36686	36.681	
530	2	Arusha	3	Arusha Disrict	Arusha MC	203152	43	203043	Marie Stopes		Operating		43	Themi	Levolosi	Levolosi	23002	Dispensary	Private	Private	-3.37478	36.68439	
574	2	Arusha	3	Arusha DC	Arusha MC		100	203100	Mateves		Under Construction			Terrat	Mateves	Mateves		Dispensary	Government	MOHSW/LGA			
531	2	Arusha	3	Arusha Disrict	Arusha MC	203166	44	203044	Mkonoo		Operating		36	Themi	Terrat	Terrat		Health Centre	Government	MOHSW/LGA	-3.46341	36.69767	NIMR
552	2	Arusha	3	Arusha DC	Arusha MC		69	20369	Moivaro		Operating		22	Themi	Moivaro	Moivaro		Health Centre	Government	MOHSW/LGA			
532	2	Arusha	3	Arusha Disrict	Arusha MC	203312	45	203045	Moshi Arusha Occupational  Services		Operating		84	Themi	Themi	Themi		Dispensary	Private	Private	-3.37668	36.69843	
533	2	Arusha	3	Arusha Disrict	Arusha MC	203176	46	203046	Mount Meru		Operating		24	Themi	Sekei	Sekei		Hospital	Government	MOHSW/LGA	-3.36411	36.69412	Other
492	2	Arusha	3	Arusha Disrict	Arusha MC	203001	1	203001	NAMDC		Operating		39	Themi	Engutoto	Engosengiu		Dispensary	FBO				
534	2	Arusha	3	Arusha Disrict	Arusha MC	203189	47	203047	NAMDS Njiro		Closed							Dispensary					
535	2	Arusha	3	Arusha Disrict	Arusha MC	203313	48	203048	Nanenane		Operating				Themi	Nanenane		Dispensary	Private	Private	-3.40057	36.7048	
501	2	Arusha	3	Arusha Disrict	Arusha MC	203015	10	203010	Neema	Neema	Operating		58	Themi	Levolosi	Levolosi		Dispensary	Private	Private			
536	2	Arusha	3	Arusha Disrict	Arusha MC	203194	50	203050	Ngarenaro		Operating		35	Themi	Levolosi	Levolosi		Health Centre	Government	MOHSW/LGA	-3.361913	36.676328	
537	2	Arusha	3	Arusha Disrict	Arusha MC	203210	51	203051	Okoa		Operating		69	Suye	Oloirien	Oloirien		Dispensary	FBO	Others			
538	2	Arusha	3	Arusha Disrict	Arusha MC	203213	52	203052	Old Arusha clinic		Operating		21	Themi	Themi	Themi	23051	Health Centre	Private	Private	-3.37438	36.69721	
539	2	Arusha	3	Arusha Disrict	Arusha MC	203233	54	203054	PAG Sanawari		Closed							Dispensary					
540	2	Arusha	3	Arusha Disrict	Arusha MC	203234	55	203055	PAG Sombetini		Closed							Dispensary					
541	2	Arusha	3	Arusha Disrict	Arusha MC	203315	56	203056	Police		Operating			Themi	Kaloleni	Kaloleni		Dispensary	Government	Police	-3.36801	36.69157	
542	2	Arusha	3	Arusha Disrict	Arusha MC	203316	58	203058	SANAWARI		Operating		95	Themi	Sekei	Sanawari		Dispensary	Private	Private	-3.36221	36.9582	
499	2	Arusha	3	Arusha Disrict	Arusha MC	203011	8	203008	Seliani Town Clinic		Operating		55	Themi	Levolosi	Levolosi		Dispensary	FBO	Lutheran	-3.21665	36.41113	Other
543	2	Arusha	3	Arusha Disrict	Arusha MC	203253	60	203060	Shabana		Closed							Dispensary					
544	2	Arusha	3	Arusha Disrict	Arusha MC	203256	61	203061	Shree Hindu Mandal		Operating		61	Themi	Kati	Kati	312	Health Centre	Private	Private	-3.37436	36.68843	Other
545	2	Arusha	3	Arusha Disrict	Arusha MC	203257	62	203062	Sikh Temple		Operating		49	Themi	Levolosi	Levolosi		Dispensary	Private	Private	-3.37496	36.68488	
578	2	Arusha	3	Arusha DC	Arusha MC		106	203106	Sombetini		Operating			Suye	Sombetini			dispensary	Government	MOHSW/LGA			
546	2	Arusha	3	Arusha Disrict	Arusha MC	203261	63	203063	Soweto		Operating		72	Themi	Kaloleni	Kaloleni	23042	Health Centre	Private	Private	-3.36543	36.68706	
547	2	Arusha	3	Arusha Disrict	Arusha MC	203263	64	203064	St. Elizabeth		Operating		27	Themi	Ngarenaro	Ngarenaro		Hospital	FBO	RC	-3.357245	36.677003	
548	2	Arusha	3	Arusha Disrict	Arusha MC	203262	65	203065	St. Michael		Operating		76	Themi	Unga ltd	Unga ltd		Dispensary	Private	Private	-3.37752	36.68299	Other
549	2	Arusha	3	Arusha Disrict	Arusha MC	203264	66	203066	St. Thomas		Operating		86	Themi	Kati	Kati		Health Centre	Private	Private	-3.37248	36.68867	NIMR
550	2	Arusha	3	Arusha Disrict	Arusha MC	203265	67	203067	St. Veronica		Operating		48		Elerai	Matejoo		Dispensary	Private	Private	-3.36674	36.67218	
553	2	Arusha	3	Arusha Disrict	Arusha MC	203267	70	203070	TAG Kijenge		Closed							Dispensary					
576	2	Arusha	3	Arusha DC	Arusha MC		104	203104	Tanganyika Packers JWTZ		Operating			Moshono	Mlangarini	Mlangarini/Chekereni		Dispensary	Government	TPDF			
577	2	Arusha	3	Arusha DC	Arusha MC		105	203105	Terrat		Operating		Not Allocated	Terrat	Terrat	Terrat		Dispensary	Government	MOHSW/LGA			
554	2	Arusha	3	Arusha Disrict	Arusha MC	203271	72	203072	Terrat Road		Operating		67	Themi	Unga Ltd	Unga Ltd		Dispensary	Private	Private	-3.38132	36.686	
555	2	Arusha	3	Arusha Disrict	Arusha MC	203272	73	203073	Themi		Operating		12	Themi	Themi	Themi		Health Centre	Government	MOHSW/LGA	-3.39844	36.7011	NIMR
556	2	Arusha	3	Arusha Disrict	Arusha MC		74	203074	Total Care		Operating		Not Allocated		Themi	Pepsi		Dispensary	Private	Private			
575	2	Arusha	3	Arusha Disrict	Arusha MC	203318	103	203103	Umasita		Closed							Dispensary			-3.37741	36.65916	
557	2	Arusha	3	Arusha Disrict	Arusha MC	203281	75	203075	Upendo		Operating		75	Themi	Sekei	Sekei		Dispensary	Private	Private	-3.36001	36.69614	
558	2	Arusha	3	Arusha Disrict	Arusha MC	203282	76	203076	Upone		Operating		47	Elerai	Elerai	Elerai		Dispensary	Private	Private	-3.37977	36.67019	
7282	21	Manyara	1	Babati District	Babati DC	2101152	2	2101002	Arri Tsaayo		Operating		55	Bashnet	Arri	Arri		Dispensary	Government	LGA	-4.14484	35.35371	
7283	21	Manyara	1	Babati District	Babati DC	2101011	8	2101008	BAKWATA Gallapo	BAKWATA	Operating	Edited name fromBkwata Gallapo to BAKWATA Gallapo	33	Babati	Gallapo	Gallapo		Dispensary	FBO	BAKWATA	-4.17198	35.51254	
7285	21	Manyara	1	Babati District	Babati DC	2101013	12	2101012	Buma		Operating		Not Allocated	Bashnet		Bashnet	AR/KIJ/242	Hospital	FBO	RC	-4.24132	35.49295	
7286	21	Manyara	1	Babati District	Babati DC		13	2101013	Dabil	MANDI	Operating		53	Bashnet	Dabil	Mandi		Dispensary	Government	LGA			
7287	21	Manyara	1	Babati District	Babati DC	2101019	15	2101015	Dareda l	Babati Council	Operating	Babati DC Desiganted Hospital (formely known as Dareda Mission)	3	Bashnet	Dareda	Seloto		Hospital	FBO	RC	-4.14428	35.295	
7288	21	Manyara	1	Babati District	Babati DC	2101024	16	2101016	Dohomu		Operating	Edited name from Dohom to Dohomu	47	Bashnet	Arri	Dohomu		Dispensary	Government	LGA			
7289	21	Manyara	1	Babati District	Babati DC	2101162	17	2101017	Duru		Operating		62	Babati	Duru	Duru	AR/KIJ/216	Dispensary	Government	LGA			
7327	21	Manyara	1	Babati District	Babati DC	2101030	68	2101068	Endabeg		Closed			Babati	Riroda	Endabeg	AR/KIJ/232	Dispensary	FBO	Lutheran			
7290	21	Manyara	1	Babati District	Babati DC	2101031	18	2101018	Endagwe		Operating		39	Babati	Duru	Endagwe	AR/KIJ/217	Dispensary	Government	LGA	-4.21319	35.38912	
7291	21	Manyara	1	Babati District	Babati DC	2101033	19	2101019	Endakiso		Operating		24	Babati	Mamire	Endakisso		Dispensary	Government	LGA	-4.12529	35.53418	
7292	21	Manyara	1	Babati District	Babati DC	2101038	20	2101020	Gallapo		Operating		37	Babati	Gallapo	Galapo		Health Centre	Government	LGA	-4.27447	35.85008	
7293	21	Manyara	1	Babati District	Babati DC		22	2101022	Gedamar		Operating		52	Babati	Gallapo	Gedamar		Dispensary	Government	LGA			
7294	21	Manyara	1	Babati District	Babati DC	2101155	23	2101023	Gichameda		Closed		Not Allocated	Mbugwe		Gichameda	AR/KIJ/254	Dispensary	FBO	TAG	-4.19373	35.42978	
