SN	DISTRICT	DIVISION	WARD	VILLAGE	MITAA	Fname	FTYPE	OWNER	PLACE	OWNER2
165	Kigoma MC	Kigoma Kusini	Rusimbi	Lake Tanganyika	LUMUMBA	Rusimbi	Dispensary	LGA	Urban	Public
182	Kigoma MC	Kigoma Kusini	Rusimbi	Burega	BUREGA	Maweni	Hospital	LGA	Urban	Public
200	Kigoma DC	Nguruka	Nguruka	Nguruka	20/6/1976	Nguruka	Health Centre	LGA	Rural	Public
205	Kigoma DC	Nguruka	Mganza	Mganza	20/5/1976	Mganza	Dispensary	LGA	Rural	Public
206	Kigoma DC	Nguruka	Mganza	Malagalasi	20/5/1976	Malagalasi	Dispensary	LGA	Rural	Public
207	Kigoma DC	Nguruka	Mtego Wa Noti	Mtego wa Noti	20/5/1976	Mtego wa Noti	Dispensary	LGA	Rural	Public
208	Kigoma DC	Nguruka	Mtego Wa Noti	Ilalangulu	20/5/1976	Ilalangulu	Dispensary	LGA	Rural	Public
209	Kigoma DC	Nguruka	Mtego Wa Noti	Chagu	20/7/1976	Chagu	Dispensary	LGA	Rural	Public
210	Kigoma DC	Nguruka	Uvinza	Uvinza	20/7/1978	Uvinza	Health Centre	LGA	Rural	Public
211	Kigoma DC	Nguruka	Uvinza	Uvinza		Muzdalifa	Dispensary	Private	Rural	Private
212	Kigoma DC	Nguruka	Uvinza	Uvinza		Nyanza	Dispensary	Religious	Rural	Faith-Based
213	Kigoma DC	Nguruka	Uvinza	Basanza	20/5/1976	Basanza	Dispensary	LGA	Rural	Public
214	Kigoma DC	Nguruka	Uvinza	Chakulu	20/5/1976	Chakulu	Dispensary	LGA	Rural	Public
215	Kigoma DC	Nguruka	Uvinza	Mwamila	6/5/1995	Mwamila	Dispensary	LGA	Rural	Public
216	Kigoma DC	Buhingu	Buhingu	Buhingu	20/6/1976	Buhingu	Health Centre	LGA	Rural	Public
217	Kigoma DC	Buhingu	Buhingu	Kalilani	6/5/1995			LGA	Rural	Public
218	Kigoma DC	Buhingu	Nkonkwa	Nkonkwa		Nkonkwa	Dispensary	LGA	Rural	Public
219	Kigoma DC	Buhingu	Kalya	Kalya	20/6/1976	Kalya	Dispensary	LGA	Rural	Public
220	Kigoma DC	Buhingu	Kalya	Kashaguru	20/6/1976	Kashaguru	Dispensary	LGA	Rural	Public
222	Kigoma DC	Buhingu	Igarula	Igarula	20/6/1976	Igarula	Dispensary	LGA	Rural	Public
223	Kigoma DC	Buhingu	Igarula	Rukoma	20/6/1976	Rukoma	Dispensary	LGA	Rural	Public
224	Kigoma DC	Buhingu	Igarula	Mgambazi		Mgambazi	Dispensary	LGA	Rural	Public
225	Kigoma DC	Buhingu	Sigunga	Sigunga	20/6/1976	Sigunga	Dispensary	LGA	Rural	Public
226	Kigoma DC	Buhingu	Sigunga	Herembe	20/6/1976	Herembe	Dispensary	LGA	Rural	Public
227	Kigoma DC	Buhingu	Sigunga	Kaparamsenga	20/6/1976	Kaparamsemba	Dispensary	LGA	Rural	Public
228	Kigoma DC	Buhingu	Sigunga	Mahembe	20/6/1976	Mahembe	Dispensary	LGA	Rural	Public
229	Kigoma DC	Mahembe	Mahembe	Mahembe		Kwitanga	Dispensary	Prisons	Rural	Public
230	Kigoma DC	Mahembe	Mahembe	Chankabwimba	20/6/1976	Chankabwimba	Dispensary	LGA	Rural	Public
231	Kigoma DC	Mahembe	Mahembe	Nkungwe	19/5/1976	Nkungwe	Dispensary	LGA	Rural	Public
232	Kigoma DC	Mahembe	Bitale	Bitale	20/5/1976	Bitale	Health Centre	LGA	Rural	Public
233	Kigoma DC	Mahembe	Bitale	Chankele	20/5/1976	Chankele	Dispensary	LGA	Rural	Public
234	Kigoma DC	Mahembe	Bitale	Bubango	20/5/1976	Bubango	Dispensary	LGA	Rural	Public
235	Kigoma DC	Mahembe	Bitale	Kizenga	20/5/1976	Kizenga	Dispensary	LGA	Rural	Public
236	Kigoma DC	Mahembe	Bitale	Mkongoro	20/5/1976	Mkongoro	Dispensary	LGA	Rural	Public
237	Kigoma DC	Mahembe	Bitale	Nyamhoza	20/5/1976	Nyamhoza	Dispensary	LGA	Rural	Public
238	Kigoma DC	Mahembe	Matendo	Kidahwe	20/5/1976	Kidahwe	Dispensary	LGA	Rural	Public
239	Kigoma DC	Mahembe	Matendo	Pamila	20/5/1976	Kidahwe	Dispensary	LGA	Rural	Public
240	Kigoma DC	Mahembe	Matendo	Matendo	20/5/1976	Kidahwe	Dispensary	LGA	Rural	Public
241	Kigoma DC	Mwandiga	Mwandiga	Mwandiga	20/7/1978	Mwandiga	Dispensary	LGA	Rural	Public
245	Kigoma DC	Mwandiga	Mwandiga	Bigabiro (Kibingo)	23/5/1989	Bigabiro	Dispensary	Assemblies of God	Rural	Faith-Based
246	Kigoma DC	Mwandiga	Mwandiga	Kiganza	20/5/1976	Kiganza	Dispensary	Roman Catholic	Rural	Faith-Based
247	Kigoma DC	Mwandiga	Mungonya	Msimba	20/5/1976	Msimba	Dispensary	LGA	Rural	Public
248	Kigoma DC	Mwandiga	Mungonya	Kamara	20/5/1976	Kamara	Dispensary	LGA	Rural	Public
249	Kigoma DC	Mwandiga	Kagongo	Mtanga	20/6/1976	Mtanga	Dispensary	LGA	Rural	Public
250	Kigoma DC	Mwandiga	Kagongo	Mgaraganza	20/6/1976	Mgaraganza	Dispensary	LGA	Rural	Public
251	Kigoma DC	Ilagala	Ilagala	Ilagala	20/6/1976	Ilagala	Dispensary	LGA	Rural	Public
252	Kigoma DC	Ilagala	Ilagala	Mkuyu (Lyabusende)				LGA	Rural	Public
253	Kigoma DC	Ilagala	Ilagala	Songambere				LGA	Rural	Public
254	Kigoma DC	Ilagala	Ilagala	Mwakizenga	20/6/1976	Mwakizenga	Dispensary	LGA	Rural	Public
255	Kigoma DC	Ilagala	Ilagala	Mwakizenga		Bulombola	Dispensary	TPDF	Rural	Public
256	Kigoma DC	Ilagala	Ilagala	Mwakizenga		Ilagala	Dispensary	Prisons	Rural	Public
257	Kigoma DC	Ilagala	Simbo	Simbo	6/4/1976	Simbo	Dispensary	LGA	Rural	Public
258	Kigoma DC	Ilagala	Simbo	Kasuku	20/6/1976			LGA	Rural	Public
259	Kigoma DC	Ilagala	Simbo	Nyamori	20/6/1976	Nyamori	Dispensary	LGA	Rural	Public
260	Kigoma DC	Ilagala	Simbo	Kaseke	20/6/1976	Kaseke	Dispensary	LGA	Rural	Public
261	Kigoma DC	Ilagala	Sunuka	Sunuka	20/6/1976	Sunuka	Dispensary	LGA	Rural	Public
262	Kigoma DC	Ilagala	Sunuka	Kilando	20/6/1976	Kilando	Dispensary	LGA	Rural	Public
263	Kigoma DC	Ilagala	Sunuka	Karago	20/6/1976	Karago	Dispensary	LGA	Rural	Public
264	Kigoma DC	Ilagala	Kandanga	Kandanga	20/5/1976	Kandanga	Dispensary	LGA	Rural	Public
265	Kigoma DC	Ilagala	Kandanga	Mlela	20/5/1976	Mlela	Dispensary	LGA	Rural	Public
266	Kigoma DC	Ilagala	Kandanga	Kazuramimba	20/5/1976	Kazuramimba	Dispensary	LGA	Rural	Public
267	Kigoma DC	Ilagala	Kandanga	Kalenge	20/5/1976	Kalenge	Dispensary	LGA	Rural	Public
268	Kigoma DC	Ilagala	Kandanga	Nyanganga	20/7/1978	Nyanganga	Dispensary	LGA	Rural	Public
269	Kigoma DC	Kalinzi	Kalinzi	Kalinzi	20/5/1976	Kalinzi	Dispensary	LGA	Rural	Public
270	Kigoma DC	Kalinzi	Kalinzi	Matyazo	20/5/1976	Matyazo	Health Centre	Anglican	Rural	Faith-Based
271	Kigoma DC	Kalinzi	Kalinzi	Mkabogo	20/5/1976	Mkabogo	Dispensary	LGA	Rural	Public
272	Kigoma DC	Kalinzi	Mkigo	Mkigo	20/5/1976	Mkigo	Dispensary	LGA	Rural	Public
273	Kigoma DC	Kalinzi	Mkigo	Nyarubanda	20/5/1976	Nyarubanda	Dispensary	LGA	Rural	Public
274	Kigoma DC	Kalinzi	Mwamgongo	Mwamgongo	20/6/1976	Mwamgongo	Health Centre	LGA	Rural	Public
275	Kigoma DC	Kalinzi	Mwamgongo	Kiziba		Kiziba		LGA	Rural	Public
276	Kigoma DC	Kalinzi	Kagunga	Kagunga	20/6/1976	Kagunga		LGA	Rural	Public
277	Kigoma DC	Kalinzi	Kagunga	Zashe	20/6/1976	Zashe		LGA	Rural	Public
278	Kigoma DC	Kalinzi	Kagunga	Bugamba	20/6/1976	Bugamba	Dispensary	Private	Rural	Private
279	Kasulu DC	Buhoro	Buhoro	Shunga		Shunga	Health Centre	Anglican	Rural	Faith-Based
280	Kasulu DC	Buhoro	Buhoro	Buhoro		Buhoro	Dispensary	LGA	Rural	Public
281	Kasulu DC	Buhoro	Nyakitonto	Nyakitonto		Nyakitonto	Health Centre	LGA	Rural	Public
282	Kasulu DC	Buhoro	Nyakitonto	Mugombe		Mugombe	Dispensary	LGA	Rural	Public
283	Kasulu DC	Buhoro	Kitagata	Kitagata		Kitagata	Dispensary	LGA	Rural	Public
284	Kasulu DC	Buhoro	Kitagata	Kitagata		Kitagata	Health Centre	LGA	Rural	Public
285	Kasulu DC	Buhoro	Kitagata	Mwali		Mwali	Dispensary	LGA	Rural	Public
286	Kasulu DC	Buhoro	Kitagata	Nyachenda		Nyachenda	Dispensary	LGA	Rural	Public
287	Kasulu DC	Buhoro	Nyamnyusi	Kitema		Kitema	Dispensary	LGA	Rural	Public
288	Kasulu DC	Buhoro	Nyamnyusi	Kanazi		Kanazi	Dispensary	LGA	Rural	Public
290	Kasulu DC	Buyonga	Muzye	Muzye		Muzye	Dispensary	LGA	Rural	Public
291	Kasulu DC	Buyonga	Muzye	Bugaga		Bugaga	Dispensary	LGA	Rural	Public
292	Kasulu DC	Buyonga	Muzye	Kasangezi		Kasangezi	Dispensary	LGA	Rural	Public
294	Kasulu DC	Buyonga	Muzye	Kigembe		Kigembe	Dispensary	LGA	Rural	Public
296	Kasulu DC	Buyonga	Rusesa	Rusesa		Rusesa	Health Centre	LGA	Rural	Public
297	Kasulu DC	Buyonga	Rusesa	Zeze		Zeze	Dispensary	LGA	Rural	Public
298	Kasulu DC	Buyonga	Kwaga	Kwaga		Kwaga	Dispensary	LGA	Rural	Public
299	Kasulu DC	Buyonga	Kwaga	Kalela		Kalela	Dispensary	LGA	Rural	Public
300	Kasulu DC	Buyonga	Munzeze	Munzeze		Munzeze	Dispensary	LGA	Rural	Public
301	Kasulu DC	Buyonga	Munzeze	Kigogwe		Kigogwe	Dispensary	LGA	Rural	Public
302	Kasulu DC	Makere	Nyamidaho	Makere		Makere	Dispensary	LGA	Rural	Public
303	Kasulu DC	Makere	Nyamidaho	Nyamidaho		Nyamidaho	Dispensary	LGA	Rural	Public
304	Kasulu DC	Makere	Nyamidaho	Mvugwe		Mvugwe	Dispensary	LGA	Rural	Public
305	Kasulu DC	Makere	Heru Ushingo	Heru Ushingo		Heru Ushingo	Dispensary	LGA	Rural	Public
306	Kasulu DC	Makere	Heru Ushingo	Kigadye		Kigadye	Dispensary	LGA	Rural	Public
308	Kasulu DC	Makere	Kitanga	Kitanga		Kitanga	Dispensary	LGA	Rural	Public
309	Kasulu DC	Makere	Kagera Nkanda	Kagera Nkanda		Kagera Nkanda	Dispensary	LGA	Rural	Public
310	Kasulu DC	Makere	Kagera Nkanda	Mvinza		Mvinza	Dispensary	LGA	Rural	Public
311	Kasulu DC	Manyovu	Mnanila	Mnanila		Mnanila	Dispensary	LGA	Rural	Public
312	Kasulu DC	Manyovu	Mnanila	Mnanila		Muzadalif	Dispensary	BAKWATA	Rural	Private
313	Kasulu DC	Manyovu	Mnanila	Kibwigwa		Kibigwa	Dispensary	LGA	Rural	Public
314	Kasulu DC	Manyovu	Mnanila	Nyakimue		Nyakimue	Dispensary	LGA	Rural	Public
315	Kasulu DC	Manyovu	Mnanila	Kitambuka		Kitambuka	Dispensary	LGA	Rural	Public
316	Kasulu DC	Manyovu	Mnanila	Mkatanga		Musagara	Dispensary	Roman Catholic	Rural	Faith-Based
317	Kasulu DC	Manyovu	Muhinda	Mwayaya		Mwayaya	Dispensary	LGA	Rural	Public
318	Kasulu DC	Manyovu	Muhinda	Muhinda		Muhinda	Dispensary	Roman Catholic	Rural	Faith-Based
319	Kasulu DC	Manyovu	Muhinda	Nyaruboza		Nyaruboza	Dispensary	LGA	Rural	Public
321	Kasulu DC	Manyovu	Rusaba	Rusaba		Rusaba	Dispensary	LGA	Rural	Public
322	Kasulu DC	Manyovu	Rusaba	Kinazi		Kinazi	Dispensary	LGA	Rural	Public
323	Kasulu DC	Manyovu	Janda	Janda		Janda	Health Centre	LGA	Rural	Public
324	Kasulu DC	Manyovu	Janda	Kirungu		Kirungu	Dispensary	LGA	Rural	Public
325	Kasulu DC	Manyovu	Janda	Bukuba		Nyamabuye	Dispensary	Religious	Rural	Faith-Based
326	Kasulu DC	Manyovu	Buhigwe	Mulera		Mulera	Health Centre	Roman Catholic	Rural	Faith-Based
327	Kasulu DC	Manyovu	Buhigwe	Kibande		Kibande	Dispensary	LGA	Rural	Public
328	Kasulu DC	Manyovu	Buhigwe	Nyankoronko		Nyankoronko	Dispensary	LGA	Rural	Public
329	Kasulu DC	Manyovu	Buhigwe	Buhigwe		Buhigwe	Dispensary	LGA	Rural	Public
331	Kasulu DC	Muyama	Muyama	Nyanga		Muyama	Health Centre	LGA	Rural	Public
332	Kasulu DC	Muyama	Muyama	Kasumo		Kasumo	Dispensary	Roman Catholic	Rural	Faith-Based
334	Kasulu DC	Muyama	Kilelema	Kilelema		Kilelema	Dispensary	LGA	Rural	Public
335	Kasulu DC	Muyama	Kilelema	Mugera		Mugera	Dispensary	LGA	Rural	Public
336	Kasulu DC	Muyama	Kilelema	Migongo		Migongo	Dispensary	LGA	Rural	Public
337	Kasulu DC	Muyama	Kajana	Kajana		Kajana	Dispensary	LGA	Rural	Public
338	Kasulu DC	Muyama	Kajana	Katundu		Katundu	Dispensary	LGA	Rural	Public
339	Kasulu DC	Muyama	Nyamgali	Biharu		Biharu	Health Centre	Religious	Rural	Faith-Based
341	Kasulu DC	Muyama	Nyamgali	Bulimanyi		Nyamgali	Dispensary	LGA	Rural	Public
342	Kasulu DC	Heru Chini	Kasulu Mjini	Murubona		Kiganamo	Health Centre	LGA	Rural	Public
343	Kasulu DC	Heru Chini	Kasulu Mjini	Murubona		Kasulu	Hospital	LGA	Rural	Public
344	Kasulu DC	Heru Chini	Kasulu Mjini	Murubona		Murubona	Dispensary	Seventh Day Adventists	Rural	Faith-Based
345	Kasulu DC	Heru Chini	Kasulu Mjini	Murubona		Muzdalifa	Dispensary	BAKWATA	Rural	Private
347	Kasulu DC	Heru Chini	Kigondo	Kigondo		Kigondo	Dispensary	LGA	Rural	Public
349	Kasulu DC	Heru Chini	Ruhita	Nyenge		Nyenge	Health Centre	LGA	Rural	Public
352	Kasulu DC	Heru Chini	Ruhita	Ruhita		Ruhita	Dispensary	LGA	Rural	Public
353	Kasulu DC	Heru Chini	Titye	Titye		Titye	Dispensary	LGA	Rural	Public
354	Kasulu DC	Heru Chini	Titye	Lalambe		Lalambe	Dispensary	LGA	Rural	Public
355	Kasulu DC	Heru Chini	Titye	Shunguliba		Shunguliba	Dispensary	LGA	Rural	Public
356	Kasulu DC	Heru Chini	Murufiti	Murufiti		Murufiti	Dispensary		Rural	TBD
357	Kasulu DC	Heru Chini	Murufiti	Nyantare		Nyantare	Dispensary	LGA	Rural	Public
358	Kasulu DC	Heru Chini	Murufiti	Nyansha		Nyansha	Dispensary	LGA	Rural	Public
359	Kasulu DC	Heru Chini	Rungwe Mpya	Rungwe Mpya		Rungwe Mpya	Dispensary	LGA	Rural	Public
360	Kasulu DC	Heru Chini	Rungwe Mpya	Asante Nyerere		Asante Nyerere	Dispensary	LGA	Rural	Public
361	Kasulu DC	Heru Chini	Rungwe Mpya	Nyumbigwa		Nyumbigwa	Dispensary	LGA	Rural	Public
362	Kasulu DC	Heru Chini	Rungwe Mpya	Kaguruka		Kaguruka	Dispensary	LGA	Rural	Public
364	Kasulu DC	Heru Chini	Msambara	Kabanga		Kabanga	Hospital	Roman Catholic	Rural	Faith-Based
365	Kasulu DC	Heru Chini	Msambara	Msambara		Msambara	Dispensary	Religious	Rural	Faith-Based
366	Kasulu DC	Heru Juu	Muhunga	Muhunga		Muhunga	Dispensary	LGA	Rural	Public
367	Kasulu DC	Heru Juu	Muhunga	Marumba		Marumba	Dispensary	LGA	Rural	Public
368	Kasulu DC	Heru Juu	Muhunga	Marumba		Marumba	Dispensary	Roman Catholic	Rural	Faith-Based
369	Kasulu DC	Heru Juu	Muhunga	Karunga		Heru Juu	Dispensary	LGA	Rural	Public
371	Kasulu DC	Heru Juu	Munyegera	Munyegera		Munyegera	Dispensary	LGA	Rural	Public
372	Kasulu DC	Heru Juu	Munyegera	Songambele		Songambele	Dispensary	LGA	Rural	Public
373	Kasulu DC	Heru Juu	Munyegera	Muganza		Mwibuye	Dispensary	LGA	Rural	Public
374	Kasulu DC	Heru Juu	Munyegera	Mwanga B		Mwanga	Dispensary	LGA	Rural	Public
375	Kibondo DC	Kibondo	Kibondo	Kumwambu	KIBINGO	Nabuhima	Dispensary	LGA	Rural	Public
379	Kibondo DC	Kibondo	Kibondo	Kumwambu	KABWIGWA	Kibondo	Hospital	LGA	Rural	Public
386	Kibondo DC	Kibondo	Kibondo	Biturana	NYAMPENGERE	Biturana	Dispensary	LGA	Rural	Public
396	Kibondo DC	Kibondo	Kibondo	Nengo	NENGO	Nengo	Dispensary	LGA	Rural	Public
402	Kibondo DC	Kibondo	Kibondo	Nengo	NYAMISIVYI	Nyamisivyi	Dispensary	Prisons	Rural	Public
404	Kibondo DC	Kibondo	Kibondo	Kibondo Mjini	BOMA	Kibondo KDC	Dispensary	LGA	Rural	Public
405	Kibondo DC	Kibondo	Kibondo	Kibondo Mjini	KUMWAYI	Kibondo Mjini	Dispensary	BAKWATA	Rural	Private
406	Kibondo DC	Kibondo	Kibondo	Kibondo Mjini	KUMWELULO SOKONI	Neema	Dispensary	LGA	Rural	Public
414	Kibondo DC	Kibondo	Misezero	Misezero	NYESOGO	Bitare	Dispensary	LGA	Rural	Public
424	Kibondo DC	Kibondo	Misezero	Kumuhama	KUMUGOBOKA	Kumuhama	Dispensary	LGA	Rural	Public
432	Kibondo DC	Kibondo	Misezero	Twabagondozi	NARUKINGA	Twabagondozi	Dispensary	LGA	Rural	Public
441	Kibondo DC	Kibondo	Misezero	Kumkugwa	KUMLAMA	Kumkugwa	Dispensary	LGA	Rural	Public
442	Kibondo DC	Kibondo	Misezero	Kumkugwa	KAVURUGA	Kanembwa JKT	Dispensary	TPDF	Rural	Public
449	Kibondo DC	Kibondo	Bunyambo	Minyinya	BUSTANI	Minyinya	Dispensary	LGA	Rural	Public
459	Kibondo DC	Kibondo	Bunyambo	Bunyambo	NYANGWA	Bunyambo	Dispensary	LGA	Rural	Public
469	Kibondo DC	Kibondo	Bunyambo	Samvura	NYANGWA A	Samvura	Dispensary	LGA	Rural	Public
479	Kibondo DC	Kibondo	Rugongwe	Kigaga	KIGAGA A	Kigaga	Dispensary	LGA	Rural	Public
489	Kibondo DC	Kibondo	Rugongwe	Kichananga	NYAKICHACHA	Kichananga	Dispensary	LGA	Rural	Public
499	Kibondo DC	Kibondo	Rugongwe	Busunzu	NYAMGULUMA A	Busunzu	Dispensary	LGA	Rural	Public
519	Kibondo DC	Kibondo	Rugongwe	Kisogwe	NYAMILEMBI A	Kisogwe	Dispensary	LGA	Rural	Public
520	Kibondo DC	Kibondo	Rugongwe	Kisogwe	NYAMILEMBI B	Mkugwa Camp	Dispensary	MDA	Rural	Public
529	Kibondo DC	Kibondo	Murungu	Kumhasha	NDUTA	Kumhasha	Dispensary	LGA	Rural	Public
539	Kibondo DC	Kibondo	Murungu	Kumbanga	KUMGERA	Kumbanga	Dispensary	LGA	Rural	Public
549	Kibondo DC	Kibondo	Busagara	Kifura	NYENTAMBA	Kifura	Health Centre	LGA	Rural	Public
559	Kibondo DC	Kibondo	Busagara	Kigendeka	NTAKAMA A	Kigendeka	Dispensary	LGA	Rural	Public
569	Kibondo DC	Kibondo	Busagara	Kasaka	MUGALIKA	Nyaruyoba	Dispensary	LGA	Rural	Public
579	Kibondo DC	Kibondo	Busagara	Nyaruyoba	NYARUYOBA	Kasaka	Dispensary	LGA	Rural	Public
589	Kibondo DC	Kibondo	Kitahana	Kitahana	KILUNDO A	Kitahana	Dispensary	LGA	Rural	Public
599	Kibondo DC	Kibondo	Kitahana	Rusohoko	KAGOMERO A	Rusohoko	Dispensary	LGA	Rural	Public
600	Kibondo DC	Kibondo	Kitahana	Rusohoko	KAGOMERO B	Nduta Camp	Dispensary	LGA	Rural	Public
609	Kibondo DC	Kibondo	Kitahana	Rugunga	SONGAMBELE	Rugunga	Dispensary	LGA	Rural	Public
619	Kibondo DC	Kibondo	Kitahana	Kibingo	KUNGWA	Kibingo	Dispensary	LGA	Rural	Public
624	Kibondo DC	Kasanda	Gwanumpu	Gwanumpu	GWANUMPU A	Gwanumpu	Dispensary	LGA	Rural	Public
634	Kibondo DC	Kasanda	Gwanumpu	Bukiliro	KITANGURA	Bukiliro	Dispensary	LGA	Rural	Public
644	Kibondo DC	Kasanda	Gwanumpu	Katanga	KASHAWE	Katanga	Dispensary	LGA	Rural	Public
664	Kibondo DC	Kasanda	Mugunzu	Mugunzu	KAYOGORO A	Mugunzu	Dispensary	LGA	Rural	Public
684	Kibondo DC	Kasanda	Mugunzu	Nyagwijima	NYAGWIJIMA	Nyagwijima	Dispensary	LGA	Rural	Public
694	Kibondo DC	Kasanda	Kasanda	Kasanda	KASANDA	Kasanda	Dispensary	LGA	Rural	Public
705	Kibondo DC	Kasanda	Kasanda	Kazilamihunda	KANYETAMO	Kazilamihunda	Dispensary	LGA	Rural	Public
706	Kibondo DC	Kasanda	Kasanda	Kazilamihunda	KAMUKWABURE	Keza	Dispensary	Religious	Rural	Faith-Based
707	Kibondo DC	Kasanda	Kasanda	Kazilamihunda	KUMUNZOYA	Kanembwa	Dispensary	TPDF	Rural	Public
711	Kibondo DC	Mabamba	Mabamba	Mabamba	MABAMBA MJINI	Mabamba	Health Centre	LGA	Rural	Public
721	Kibondo DC	Mabamba	Mabamba	Mkarazi	STENDI	Mukarazi	Dispensary	LGA	Rural	Public
731	Kibondo DC	Mabamba	Mabamba	Nyange	NYANGE A	Nyange	Dispensary	LGA	Rural	Public
741	Kibondo DC	Mabamba	Mabamba	Nyakasanda	KABWIREMBI	Nyakasanda	Dispensary	LGA	Rural	Public
751	Kibondo DC	Mabamba	Kizazi	Nyarugusu	MUTABO	Nyarugusu	Dispensary	LGA	Rural	Public
761	Kibondo DC	Mabamba	Kizazi	Nyabitaka	MAJENGO MAPYA	Nyabitaka	Dispensary	LGA	Rural	Public
771	Kibondo DC	Mabamba	Kizazi	Kumshwabure	NYARUNANGA	Nyarugunga	Dispensary	LGA	Rural	Public
781	Kibondo DC	Mabamba	Kumsenga	Kumsenga	LINDA	Kumsenga	Dispensary	LGA	Rural	Public
791	Kibondo DC	Mabamba	Kumsenga	Kagezi	RUNGARUNGA	Kagezi	Dispensary	LGA	Rural	Public
801	Kibondo DC	Mabamba	Kumsenga	Kibuye	KIKONKO	Kibuye	Dispensary	LGA	Rural	Public
811	Kibondo DC	Mabamba	Itaba	Buyezi	BUYEZI	Itaba	Dispensary	LGA	Rural	Public
821	Kibondo DC	Mabamba	Itaba	Kigogo	RUBABA	Kigogo	Dispensary	LGA	Rural	Public
831	Kibondo DC	Mabamba	Itaba	Mukabuye	MURUNGUNGA	Mukabuye	Dispensary	LGA	Rural	Public
841	Kibondo DC	Kakonko	Kakonko	Kabingo	MTAKUJA A	Kabingo	Dispensary	LGA	Rural	Public
842	Kibondo DC	Kakonko	Kakonko	Kabingo	MTAKUJA B	Kabingo JWTZ	Dispensary	TPDF	Rural	Public
851	Kibondo DC	Kakonko	Kakonko	Kiyobera	KAMANYU A	Kiyobera	Dispensary	LGA	Rural	Public
861	Kibondo DC	Kakonko	Kakonko	Kakonko/mbizi	KIZINDA A	Mbizi	Dispensary	LGA	Rural	Public
871	Kibondo DC	Kakonko	Kakonko	Itumbiko	IBUGA A	Itumbiko	Dispensary	LGA	Rural	Public
882	Kibondo DC	Kakonko	Kakonko	Muganza	GEZAULOLE	Kakonko	Health Centre	LGA	Rural	Public
892	Kibondo DC	Kakonko	Kakonko	Kanyonza	CHERABURO A	Kanyonza	Dispensary	LGA	Rural	Public
903	Kibondo DC	Kakonko	Nyamtukuza	Nyamtukuza	MURUHAMA	Nyamtukuza	Dispensary	LGA	Rural	Public
913	Kibondo DC	Kakonko	Nyamtukuza	Nyanzige/Kinyinya	NYABULIKO	Nyanzige	Health Centre	LGA	Rural	Public
933	Kibondo DC	Kakonko	Nyabibuye	Nyabibuye	KITAMO A	Nyabibuye	Dispensary	LGA	Rural	Public
943	Kibondo DC	Kakonko	Nyabibuye	Rumashi	KATONGATI	Rumashi	Dispensary	LGA	Rural	Public
